match_type,date,team1,team2,venue,city,toss_winner,toss_decision,match_winner,result,win_by_runs,win_by_wickets
odi,2022-08-21,West Indies,New Zealand,"Kensington Oval, Bridgetown, Barbados",Bridgetown,New Zealand,field,New Zealand,,0,5
odi,2022-07-01,Sri Lanka,India,Pallekele International Cricket Stadium,Kandy,Sri Lanka,bat,India,,0,4
odi,2022-07-04,Sri Lanka,India,Pallekele International Cricket Stadium,Kandy,India,field,India,,0,10
odi,2022-07-07,India,Sri Lanka,Pallekele International Cricket Stadium,Kandy,Sri Lanka,field,India,,39,0
odi,2022-07-11,Namibia,Nepal,"Cambusdoon New Ground, Ayr",Ayr,Namibia,bat,Namibia,,40,0
odi,2022-07-13,Scotland,Nepal,"Titwood, Glasgow",Glasgow,Nepal,field,Nepal,,0,5
odi,2022-07-14,Namibia,Scotland,"Titwood, Glasgow",Glasgow,Scotland,field,Scotland,,0,3
odi,2022-07-16,Namibia,Nepal,"Cambusdoon New Ground, Ayr",Ayr,Namibia,bat,Namibia,,63,0
odi,2022-07-17,Nepal,Scotland,"Titwood, Glasgow",Glasgow,Scotland,field,Scotland,,0,8
odi,2022-08-10,Scotland,United Arab Emirates,"Mannofield Park, Aberdeen",Aberdeen,Scotland,bat,Scotland,,64,0
odi,2022-08-11,United Arab Emirates,United States of America,"Mannofield Park, Aberdeen",Aberdeen,United Arab Emirates,bat,United States of America,,0,1
odi,2022-08-13,United States of America,Scotland,"Mannofield Park, Aberdeen",Aberdeen,Scotland,field,Scotland,,0,5
odi,2022-08-14,Scotland,United Arab Emirates,"Mannofield Park, Aberdeen",Aberdeen,United Arab Emirates,field,Scotland,,86,0
odi,2022-08-17,Scotland,United States of America,"Mannofield Park, Aberdeen",Aberdeen,United States of America,field,United States of America,,0,2
odi,2022-11-25,India,New Zealand,"Eden Park, Auckland",Auckland,New Zealand,field,New Zealand,,0,7
odi,2022-11-27,India,New Zealand,"Seddon Park, Hamilton",Hamilton,New Zealand,field,,no result,0,0
odi,2022-11-30,India,New Zealand,"Hagley Oval, Christchurch",Christchurch,New Zealand,field,,no result,0,0
odi,2022-12-11,Bangladesh,New Zealand,"Basin Reserve, Wellington",Wellington,Bangladesh,bat,New Zealand,,0,8
odi,2022-12-14,Bangladesh,New Zealand,"McLean Park, Napier",Napier,Bangladesh,bat,,no result,0,0
odi,2022-12-17,New Zealand,Bangladesh,"Seddon Park, Hamilton",Hamilton,Bangladesh,field,,no result,0,0
odi,2023-03-25,New Zealand,Sri Lanka,"Eden Park, Auckland",Auckland,Sri Lanka,field,New Zealand,,198,0
odi,2023-03-31,Sri Lanka,New Zealand,"Seddon Park, Hamilton",Hamilton,Sri Lanka,bat,New Zealand,,0,6
odi,2022-08-05,Bangladesh,Zimbabwe,Harare Sports Club,Harare,Zimbabwe,field,Zimbabwe,,0,5
odi,2022-08-07,Bangladesh,Zimbabwe,Harare Sports Club,Harare,Zimbabwe,field,Zimbabwe,,0,5
odi,2022-08-10,Bangladesh,Zimbabwe,Harare Sports Club,Harare,Zimbabwe,field,Bangladesh,,105,0
odi,2022-08-18,Zimbabwe,India,Harare Sports Club,Harare,India,field,India,,0,10
