match_type,date,team1,team2,venue,city,toss_winner,toss_decision,match_winner,result,win_by_runs,win_by_wickets
t20,2021-10-08,Mumbai Indians,Sunrisers Hyderabad,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Mumbai Indians,bat,Mumbai Indians,,42,0
t20,2021-10-02,Chennai Super Kings,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Rajasthan Royals,field,Rajasthan Royals,,0,7
t20,2021-10-03,Royal Challengers Bangalore,Punjab Kings,Sharjah Cricket Stadium,Sharjah,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,,6,0
t20,2021-09-30,Sunrisers Hyderabad,Chennai Super Kings,Sharjah Cricket Stadium,Sharjah,Chennai Super Kings,field,Chennai Super Kings,,0,6
t20,2021-09-28,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,Kolkata Knight Riders,field,Kolkata Knight Riders,,0,3
t20,2021-10-05,Rajasthan Royals,Mumbai Indians,Sharjah Cricket Stadium,Sharjah,Mumbai Indians,field,Mumbai Indians,,0,8
t20,2021-10-07,Chennai Super Kings,Punjab Kings,Dubai International Cricket Stadium,Dubai,Punjab Kings,field,Punjab Kings,,0,6
t20,2021-10-06,Sunrisers Hyderabad,Royal Challengers Bangalore,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Royal Challengers Bangalore,field,Sunrisers Hyderabad,,4,0
t20,2021-09-23,Mumbai Indians,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Kolkata Knight Riders,field,Kolkata Knight Riders,,0,7
t20,2021-09-25,Delhi Capitals,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Rajasthan Royals,field,Delhi Capitals,,33,0
t20,2021-09-26,Kolkata Knight Riders,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Kolkata Knight Riders,bat,Chennai Super Kings,,0,2
t20,2021-09-28,Punjab Kings,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Mumbai Indians,field,Mumbai Indians,,0,6
t20,2021-09-27,Rajasthan Royals,Sunrisers Hyderabad,Dubai International Cricket Stadium,Dubai,Rajasthan Royals,bat,Sunrisers Hyderabad,,0,7
t20,2021-10-08,Delhi Capitals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Dubai,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,0,7
t20,2021-10-01,Kolkata Knight Riders,Punjab Kings,Dubai International Cricket Stadium,Dubai,Punjab Kings,field,Punjab Kings,,0,5
t20,2021-09-29,Rajasthan Royals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Dubai,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,0,7
t20,2021-09-19,Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,Dubai,Chennai Super Kings,bat,Chennai Super Kings,,20,0
t20,2021-09-22,Sunrisers Hyderabad,Delhi Capitals,Dubai International Cricket Stadium,Dubai,Sunrisers Hyderabad,bat,Delhi Capitals,,0,8
t20,2021-10-07,Kolkata Knight Riders,Rajasthan Royals,Sharjah Cricket Stadium,Sharjah,Rajasthan Royals,field,Kolkata Knight Riders,,86,0
t20,2021-09-25,Punjab Kings,Sunrisers Hyderabad,Sharjah Cricket Stadium,Sharjah,Sunrisers Hyderabad,field,Punjab Kings,,5,0
t20,2021-09-26,Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,Dubai,Mumbai Indians,field,Royal Challengers Bangalore,,54,0
t20,2021-10-03,Sunrisers Hyderabad,Kolkata Knight Riders,Dubai International Cricket Stadium,Dubai,Sunrisers Hyderabad,bat,Kolkata Knight Riders,,0,6
t20,2021-10-04,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,Dubai,Delhi Capitals,field,Delhi Capitals,,0,3
t20,2021-09-21,Rajasthan Royals,Punjab Kings,Dubai International Cricket Stadium,Dubai,Punjab Kings,field,Rajasthan Royals,,2,0
t20,2021-10-02,Mumbai Indians,Delhi Capitals,Sharjah Cricket Stadium,Sharjah,Delhi Capitals,field,Delhi Capitals,,0,4
t20,2021-09-24,Royal Challengers Bangalore,Chennai Super Kings,Sharjah Cricket Stadium,Sharjah,Chennai Super Kings,field,Chennai Super Kings,,0,6
t20,2021-10-10,Delhi Capitals,Chennai Super Kings,Dubai International Cricket Stadium,Dubai,Chennai Super Kings,field,Chennai Super Kings,,0,4
t20,2021-10-11,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,Royal Challengers Bangalore,bat,Kolkata Knight Riders,,0,4
t20,2021-10-13,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,Kolkata Knight Riders,field,Kolkata Knight Riders,,0,3
t20,2021-10-15,Chennai Super Kings,Kolkata Knight Riders,Dubai International Cricket Stadium,Dubai,Kolkata Knight Riders,field,Chennai Super Kings,,27,0
t20,2022-01-22,England,West Indies,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,field,West Indies,,0,9
t20,2022-01-23,England,West Indies,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,field,England,,1,0
t20,2022-01-26,West Indies,England,"Kensington Oval, Bridgetown, Barbados",Bridgetown,England,field,West Indies,,20,0
t20,2022-01-29,England,West Indies,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,field,England,,34,0
t20,2022-01-30,West Indies,England,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,bat,West Indies,,17,0
t20,2021-04-21,Pakistan,Zimbabwe,Harare Sports Club,Harare,Zimbabwe,field,Pakistan,,11,0
t20,2021-04-23,Zimbabwe,Pakistan,Harare Sports Club,Harare,Pakistan,field,Zimbabwe,,19,0
t20,2021-04-25,Pakistan,Zimbabwe,Harare Sports Club,Harare,Pakistan,bat,Pakistan,,24,0
t20,2021-04-03,Uganda,Namibia,Wanderers,Windhoek,Uganda,bat,Namibia,,0,7
t20,2021-04-05,Namibia,Uganda,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,bat,Namibia,,20,0
t20,2021-04-05,Namibia,Uganda,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,bat,Namibia,,65,0
t20,2021-04-17,Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Nepal,,0,9
t20,2021-04-18,Netherlands,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Netherlands,bat,Netherlands,,15,0
t20,2021-04-19,Malaysia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Nepal,,0,9
t20,2021-04-20,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,bat,Netherlands,,0,3
t20,2021-04-21,Netherlands,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Malaysia,field,,tie,0,0
t20,2021-04-22,Nepal,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Malaysia,field,Nepal,,69,0
t20,2021-04-24,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Netherlands,field,Nepal,,142,0
t20,2021-07-09,England,India,"County Ground, Northampton",Northampton,India,field,England,,18,0
t20,2021-07-11,India,England,"County Ground, Hove",Brighton,England,field,India,,8,0
t20,2021-07-14,India,England,"County Ground, Chelmsford",Chelmsford,India,bat,England,,0,8
t20,2021-09-01,England,New Zealand,"County Ground, Chelmsford",Chelmsford,New Zealand,field,England,,46,0
t20,2021-09-04,England,New Zealand,"County Ground, Hove",Brighton,New Zealand,field,New Zealand,,0,4
t20,2021-09-09,New Zealand,England,"The Cooper Associates County Ground, Taunton",Taunton,England,field,England,,0,4
t20,2021-07-25,India,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,field,India,,38,0
t20,2021-07-28,India,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,field,Sri Lanka,,0,4
t20,2021-07-29,India,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,India,bat,Sri Lanka,,0,7
t20,2021-05-25,Ireland,Scotland,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,bat,Ireland,,61,0
t20,2021-05-24,Scotland,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Scotland,bat,Scotland,,11,0
t20,2021-05-26,Ireland,Scotland,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,bat,Ireland,,41,0
t20,2021-05-27,Scotland,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Scotland,bat,Ireland,,0,6
t20,2021-06-26,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",St George's,West Indies,field,West Indies,,0,8
t20,2021-06-27,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",St George's,West Indies,field,South Africa,,16,0
t20,2021-06-29,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",St George's,West Indies,field,South Africa,,1,0
t20,2021-07-01,West Indies,South Africa,"National Cricket Stadium, St George's, Grenada",St George's,South Africa,field,West Indies,,21,0
t20,2021-07-03,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",St George's,South Africa,bat,South Africa,,25,0
t20,2021-07-09,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Australia,field,West Indies,,18,0
t20,2021-07-10,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Australia,field,West Indies,,56,0
t20,2021-07-12,Australia,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Australia,bat,West Indies,,0,6
t20,2021-07-14,Australia,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Australia,bat,Australia,,4,0
t20,2021-07-16,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,bat,West Indies,,16,0
t20,2021-07-28,West Indies,Pakistan,"Kensington Oval, Bridgetown, Barbados",Bridgetown,Pakistan,field,,no result,0,0
t20,2021-07-31,Pakistan,West Indies,"Providence Stadium, Guyana",Providence,West Indies,field,Pakistan,,7,0
t20,2021-08-01,West Indies,Pakistan,"Providence Stadium, Guyana",Providence,West Indies,bat,,no result,0,0
t20,2021-08-03,West Indies,Pakistan,"Providence Stadium, Guyana",Providence,Pakistan,field,,no result,0,0
t20,2022-02-11,Australia,Sri Lanka,Sydney Cricket Ground,Sydney,Sri Lanka,field,Australia,,20,0
t20,2022-02-13,Australia,Sri Lanka,Sydney Cricket Ground,Sydney,Sri Lanka,field,,tie,0,0
t20,2022-02-15,Sri Lanka,Australia,"Manuka Oval, Canberra",Canberra,Australia,field,Australia,,0,6
t20,2022-02-18,Sri Lanka,Australia,Melbourne Cricket Ground,Melbourne,Australia,field,Australia,,0,6
t20,2022-02-20,Australia,Sri Lanka,Melbourne Cricket Ground,Melbourne,Australia,bat,Sri Lanka,,0,5
t20,2022-01-20,England,Australia,Adelaide Oval,Adelaide,Australia,field,Australia,,0,9
t20,2022-01-22,England,Australia,Adelaide Oval,Adelaide,Australia,field,,no result,0,0
t20,2021-10-07,India,Australia,Carrara Oval,Carrara,Australia,field,,no result,0,0
t20,2021-10-09,India,Australia,Carrara Oval,Carrara,Australia,field,Australia,,0,4
t20,2021-10-10,Australia,India,Carrara Oval,Carrara,India,field,Australia,,14,0
t20,2021-05-21,Luxembourg,Czech Republic,"Scott Page Field, Vinor",Prague,Czech Republic,field,Czech Republic,,0,9
t20,2021-05-22,Austria,Czech Republic,"Scott Page Field, Vinor",Prague,Czech Republic,field,Austria,,78,0
t20,2021-05-22,Czech Republic,Luxembourg,"Scott Page Field, Vinor",Prague,Luxembourg,field,Luxembourg,,0,6
t20,2021-05-23,Austria,Luxembourg,"Scott Page Field, Vinor",Prague,Austria,bat,Luxembourg,,0,5
t20,2021-05-23,Czech Republic,Austria,"Scott Page Field, Vinor",Prague,Czech Republic,bat,Austria,,0,4
t20,2021-06-06,Nigeria,Namibia,Gahanga International Cricket Stadium. Rwanda,Kigali City,Nigeria,bat,Namibia,,0,8
t20,2021-06-07,Botswana,Kenya,Gahanga International Cricket Stadium. Rwanda,Kigali City,Kenya,field,Kenya,,0,9
t20,2021-06-07,Namibia,Rwanda,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda,field,Namibia,,43,0
t20,2021-06-08,Namibia,Botswana,Gahanga International Cricket Stadium. Rwanda,Kigali City,Namibia,bat,Namibia,,65,0
t20,2021-06-09,Rwanda,Nigeria,Gahanga International Cricket Stadium. Rwanda,Kigali City,Nigeria,field,Rwanda,,6,0
t20,2021-06-10,Kenya,Rwanda,Gahanga International Cricket Stadium. Rwanda,Kigali City,Kenya,bat,Kenya,,25,0
t20,2021-06-10,Botswana,Nigeria,Gahanga International Cricket Stadium. Rwanda,Kigali City,Nigeria,field,Nigeria,,0,3
t20,2021-06-11,Namibia,Nigeria,Gahanga International Cricket Stadium. Rwanda,Kigali City,Namibia,bat,Namibia,,91,0
t20,2021-06-11,Kenya,Rwanda,Gahanga International Cricket Stadium. Rwanda,Kigali City,Kenya,bat,Kenya,,52,0
t20,2021-06-12,Rwanda,Nigeria,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda,bat,Rwanda,,8,0
t20,2021-06-12,Namibia,Kenya,Gahanga International Cricket Stadium. Rwanda,Kigali City,Namibia,bat,Kenya,,0,7
t20,2021-06-24,Greece,Romania,"National Sports Academy, Sofia",Sofia,Greece,bat,Romania,,0,3
t20,2021-06-25,Serbia,Greece,"National Sports Academy, Sofia",Sofia,Greece,field,Greece,,0,5
t20,2021-06-25,Bulgaria,Romania,"National Sports Academy, Sofia",Sofia,Bulgaria,bat,Romania,,0,7
t20,2021-06-25,Romania,Serbia,"National Sports Academy, Sofia",Sofia,Romania,bat,Romania,,91,0
t20,2021-06-26,Serbia,Romania,"National Sports Academy, Sofia",Sofia,Serbia,bat,Romania,,0,10
t20,2021-06-26,Bulgaria,Greece,"National Sports Academy, Sofia",Sofia,Greece,field,,no result,0,0
t20,2021-06-30,West Indies,Pakistan,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Pakistan,field,West Indies,,10,0
t20,2021-07-02,West Indies,Pakistan,"Coolidge Cricket Ground, Antigua",Coolidge,West Indies,bat,West Indies,,7,0
t20,2021-07-04,Pakistan,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Pakistan,bat,West Indies,,0,6
t20,2021-07-22,Zimbabwe,Bangladesh,Harare Sports Club,Harare,Zimbabwe,bat,Bangladesh,,0,8
t20,2021-07-23,Zimbabwe,Bangladesh,Harare Sports Club,Harare,Zimbabwe,bat,Zimbabwe,,23,0
t20,2021-07-25,Zimbabwe,Bangladesh,Harare Sports Club,Harare,Zimbabwe,bat,Bangladesh,,0,5
t20,2021-07-08,Belgium,Malta,Marsa Sports Club,Marsa,Belgium,bat,Malta,,0,6
t20,2021-07-08,Malta,Belgium,Marsa Sports Club,Marsa,Malta,bat,Belgium,,0,10
t20,2021-07-09,Malta,Belgium,Marsa Sports Club,Marsa,Belgium,field,Belgium,,0,4
t20,2021-07-10,Belgium,Malta,Marsa Sports Club,Marsa,Belgium,bat,Malta,,2,0
t20,2021-07-10,Belgium,Malta,Marsa Sports Club,Marsa,Belgium,bat,Belgium,,39,0
t20,2021-07-08,France,Germany,Bayer Uerdingen Cricket Ground,Krefeld,Germany,field,Germany,,0,9
t20,2021-07-08,France,Germany,Bayer Uerdingen Cricket Ground,Krefeld,Germany,field,Germany,,0,8
t20,2021-07-09,Germany,France,Bayer Uerdingen Cricket Ground,Krefeld,Germany,bat,Germany,,65,0
t20,2021-07-26,Ireland,Netherlands,"The Village, Malahide, Dublin",Dublin,Netherlands,field,Ireland,,28,0
t20,2021-07-29,Netherlands,Ireland,"The Village, Malahide, Dublin",Dublin,Netherlands,bat,Ireland,,0,6
t20,2021-07-30,Ireland,Netherlands,"The Village, Malahide, Dublin",Dublin,Netherlands,field,Netherlands,,0,7
t20,2021-08-03,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Dhaka,Australia,field,Bangladesh,,23,0
t20,2021-08-04,Australia,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Australia,bat,Bangladesh,,0,5
t20,2021-08-06,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Bangladesh,,10,0
t20,2021-08-07,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Australia,,0,3
t20,2021-08-09,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Bangladesh,,60,0
t20,2021-08-05,Norway,Germany,Bayer Uerdingen Cricket Ground,Krefeld,Germany,field,Germany,,0,5
t20,2021-08-05,Norway,France,Bayer Uerdingen Cricket Ground,Krefeld,France,field,France,,0,4
t20,2021-08-06,France,Germany,Bayer Uerdingen Cricket Ground,Krefeld,Germany,field,Germany,,0,2
t20,2021-08-07,Germany,France,Bayer Uerdingen Cricket Ground,Krefeld,France,field,Germany,,48,0
t20,2021-08-07,Norway,France,Bayer Uerdingen Cricket Ground,Krefeld,France,field,Norway,,3,0
t20,2021-08-08,Norway,Germany,Bayer Uerdingen Cricket Ground,Krefeld,Germany,field,Norway,,51,0
t20,2021-08-08,Norway,Germany,Bayer Uerdingen Cricket Ground,Krefeld,Norway,bat,Germany,,0,6
t20,2021-09-10,South Africa,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,South Africa,bat,South Africa,,28,0
t20,2021-09-12,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,bat,South Africa,,0,9
t20,2021-09-14,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,bat,South Africa,,0,10
t20,2021-09-01,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,New Zealand,bat,Bangladesh,,0,7
t20,2021-09-03,Bangladesh,New Zealand,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Bangladesh,,4,0
t20,2021-09-05,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,New Zealand,bat,New Zealand,,52,0
t20,2021-09-08,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,New Zealand,bat,Bangladesh,,0,6
t20,2021-09-10,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,New Zealand,bat,New Zealand,,27,0
t20,2021-08-27,Zimbabwe,Ireland,"Castle Avenue, Dublin",Dublin,Ireland,field,Zimbabwe,,3,0
t20,2021-08-29,Zimbabwe,Ireland,"Castle Avenue, Dublin",Dublin,Zimbabwe,bat,Ireland,,0,7
t20,2021-09-01,Ireland,Zimbabwe,"Bready Cricket Club, Magheramason, Bready",Bready,Zimbabwe,field,Ireland,,40,0
t20,2021-09-02,Ireland,Zimbabwe,"Bready Cricket Club, Magheramason, Bready",Bready,Zimbabwe,field,Ireland,,64,0
t20,2021-09-04,Zimbabwe,Ireland,"Bready Cricket Club, Magheramason, Bready",Bready,Zimbabwe,bat,Zimbabwe,,5,0
